author,comment
m*****3,"Bagus banget, pengemasan cepet pengiriman juga cepet bahanya bagus tebel. Dapet harga diskon jadi murah bgt makasih"
tria_septiana03,"Thank youuu 🔥🔥 baju nya udh sampe 🔥🔥 pengiriman nya lumayan cepat, packing aman 💯 no damage 💯 jinjja gomawo 💞💞 saranghanda💓💓"
sriwulansiregar06,"thank uuu dapet diskonnn pas 12.12 niiii
tapii agak lama di ekspedisi mungkin karna numpuk kali yaaaa but thank uuu seller 🥰"
moonikn,"Gak pernah kecewa sih kalo beli erigo 😁 bahan kaosnya pasti adem, ukurannya juga mesti sesuai, pengirimannya cepet. Mantep 👍"
m*****1,Keren banget recommended seller bintang 5. Barang istimewa dan cepat pengirimannya thanks ya
s*****9,"Real pict.. paket dtang lebih cpt dri est, tapi bajunya lengannya pendek ya ga sperti baju kaos yg biasa sy beli.. agak kcewa sih, tapi yaudhlah udh trlanjur beli."
nengropi535,Toooopppppppp markotooopppppp neexxttt orderrrr laagiii yaaaaaawww
putriyaa.a,jwjqjqjjqnsndba annakqlqlqlqppqpqpsosoksjsnssnsnzn xx  x zsnammamqkqkwozppzoxodododjjssnns w  wqlqpqpoqo1o1jqnwbendnd djsjw
leviseptariana,Akhirnyaaaa yang di tunggu2 sampeeee juga yaaaaa huhu thankyou sellerrrr free stikerrrr mantap Luvvvvvvv bangeeeeetttttt❣❣😭
rafasya_16,Barangnya sudah sampai bahannya adem cuma sayang pengiriman agak lama mungkin karna overload tapi gk papa lah makasih erigo
y*****1,"Awalnya iseng"" ikut flash sale pas event 12.12
Gak nyangkaaa malah kebagian dongg😭🧡
Kualitas okee punyaaa
Pokonyaa sukaaa💛💛"
putriayu_1210,"Ahhh selalu suka sama erigooooo, bagus bgt bajunya. Pengirimannya kemarin sempet ketunda sih karena cuaca buruk dan banjir. "
e*****p,Terimakasih barang sudah samapi dengan aman. Bajunya juga bagus . Tidak mengecewakan . Pengiriman juga cepat pokoknya good deh
k*****i,"Bagusss banget bajunya, real picttt, siapa si yg nggak tau baju erigooo, pokoknya bagus bagus bgt, pengiriman nya juga cepetttt bgt dahh 2 hari smpe, pengemasannya 1 harii cuma ,pokoknya bestttttt🥰🥰🥰🥰🥰"
g*****1,"Nyampenya cepet banget, padahal dah beda prov. Ga sempet buka soalnya buat kado 💞 timaaciii erigo😘😘😘"
efranmora,"Kualitas produk baik, warnanya bagus, produk original, harga poduk baik, kecepatan pengiriman baik, saran setiap beli ini saya berharap dapat stiker tiap itemnya. Jangan pelit stiker yaa.."
dhedeksma,Ketika baru sampai di buka ada bercak putih pada lengan jahitan. Untuk bahan bagus tapi bercak nya membuat kurang nyaman di pandang. Serta saya pesan 3 produk hanya mendapat kan 1 sticker. Kedepannya bisa lebih di perbaiki lagi. Terimakasih
karinahb,Motif nya unik2 & keren2 . Bahan ya ttp ademmmm . Suka bgt dgn kwalitas brand erigo . Thankyouuu!!!
maskerrina,"Pengiriman cepet banget, 2hari sampe, packing super aman, barang original.. makasii seller
Follow shopee @maskerrina"
tokofatim,"Barang cepat sampai, packing sangat rapih, respon penjual sangat cepat, bahan bagus, banyak diskon. Recommended banget 👍👍👍"
lelikarlinaaa,Gilaa sihh bangus bnget mau meninggal dah bagus murah lagi terus bahannya tuhh adem terus sablonnya juga bagus sihh parahh
dasihintan,. Banguss pengiriman juga cepeeettt bahanyaa adem mmmm... Mntap... 👍😘👍😘👍😘👍😍👍😍🤨😍👍😘🤨😘👍😘👍😘😘😘👍👍😘👍😘👍😘👍😘👍😘👍😘🤨😘🤨😘🤨😘👍😘🤨😘👍😘👍😘👍😘👍😘👍😘🤨😘👍😘👍😘👍😘👍👍🤨😘👍👍🤨😘👍👍😘👍👍👍😘👍👍😘👍😘👍😘👍😘👍😄😘👍😘👍😘😘👍😘😘😘😘👍👍😘👍😘😘😘👍😘😘👍😘👍👍👍👍
ahmadsuryalubis,"Aktifkan Paket KeepOn 8GB+KlikFilm 7hr hny 25rb & dptkan Samsung 
Galaxy S21 dan Uang 1Juta dr KlikFilm! Cek 
http://bimaplus.tri.co.id/KeepOn8GBKlikFilm atau *393*5#"
albarfatha,bagus dan apik  sangat recomend buat kalian yg mau barang bagus dan murah terimakasih buat salernya 'semoga lancar selalu
e*****e,Thanks gan. Barang sampai dengan sempurna . Ada harga ada kualitas. Sering2 ikutin program free ongkir dari shopee.
a*****r,"maaf belum sempat foto produknya karena pesanan langsung dikirim ke customer, dan sama sekali engga ada complain thankyou"
g*****a,bagusss ih asli erigo ga main2 deh apalagi dptnya pas potongan hargaaa seneng bgt🤗
fickrydarmawan213,"Terima kasih erigo sudah sampe, sukses selalu hehe....... "
bima450adhitya,Mantap..... Kualitas oke sesuai gambar....!!!!! Pokonya gak nyesel lahhhhhhh jossssssss terimmakasihhhhh
tikapebriani123,Produk sangat..sangat...sangaaattt...mantap....bahan berkualitas harga promo juga jaketnya madeppp.... Recommended .
raaihan04,Mantappppppppppppppppppppp gannnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
s*****4,"Suka banget,bahannya halus dan nyaman,makasih ya kak😍"
a*****8,"Mantab barang sudah datang, barang sesuai dengan gambar dan juga pesanan, ukuran juga pas di badan, kain bahan nyaman dan tidak panas, pkoknya top lah ya terlebih harganya yg diskon 😄😄😄"
teguhq,Barangnya bagus dan baik packing aman pengiriman baik gans terima kasih ya gans
j*****d,"Yeayyy yg ditunggu2 akhirnya datang juga, baju ny bagus adem lagi bahannya yg mau beli cuss lh jgn fikir2 lg 😊🙏"
a*****i,"Bagus bagus.. 
Semoga ada diskon terus2an
terima kasiihh kak"
radhiikhlas,Bajunya kereeen. Pas belinya dapet diskon lumayan jadi lebih irit. Bahannya adem banget sih ini. Gag nyesel belinya
t*****i,"Ngasih ini buat doi ehh pas dateng bahannya aluss bangett suerr ga nyesel dehh trs pengiriman juga cepet bangettt❤️❤️❤️
"
i*****i,"coba beli kaosnya buat kado, lokal brand yang emang bagus banget sih ini. disamping pesanan yang sesuai juga pengirimannya cepet. desain kaos yang simple juga menarik banget. thankyouu"
andinisabilaa,baguuuussss bgtt dapet harga 12.12 lumayaan tapi pengemasan lama wajar sih yaaa pasti overload banget tp pengirimannya lumayan cepettt makasiiiiii🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰
rafki93,"product nya mantap, keren dan nggak malu malu in. harga nya juga bersahabat. seller nya juga responship dan ramah. kurir nya super cepat. terima kasih....."
putridwiagustina0309,"Bagus banget kainnya di pakai suami juga Bagus. 
Suamiku juga suka sama bahan kaos nya. 
Seller nya emng josss. "
jasmin.project,Maaf ya poto dan video nya ga nyambung. Paket sudah diterima dengan baik.  Makasi ya seller nya baik dan komunikatif
t*****d,barang sudah sampai penjualnya ramah cepat juga sampai penjualnya barangnya bahannyabagus bgt gakecewa aku suka bgt :)
gani.11,"Kualitas produk sangat baik, pengiriman cepat, harganya murah, puas banget belanja di toko ini, ga pernah nyesel..... "
nurmadew11,Kualitas produk oke dikemas dengan baik tidak ada cacat sama sekali barang dikirim dengan cepat sehingga cepat sampai
yliap47,"Ternyata kecil :"" Niatnya buat di hadiahin ke cowok ku. Tapi tapi tapi... Ya salahku sih milihnya S. :"" Ya Tuhann.. Yaudah deh. Ini buat aku aja :"" Gapapa. Slebihnya bagus banget. Zukkak 🥰"
b*****9,Thankssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss sssssssss
ameliawt2000,"Woylah bagus bgt kalo ini mah, mana worth it to buy juga😭
Nyesel bgt cuma beli 1, next bakal repeat order lagi💖"
i*****2,Baguss bangetttt tebel bahannyaa gabakalan nyesell deh mantappp🤩😍🥰😘😘😘
saashaaa28,BBS js sks ks dd dkd ksnsld ddkdddnddkdbje ddnrlrd. Dnkkd dkd kdd ddkdd dd dlsmms kss sks. Ls smssns nhjnnjjj bbbb
r*****i,"Paket sudah diterima dengan baik dan sesuai pesanan...
Proses lama sampe batas waktu pengiriman...
Sekian dan terima kasih..."
adityapradana600,"Baguss.. mantap ada size XXL.. harga murah.. kualitas nya mantap..
Sorry gambarnya random karna kaosnya lagi dicuci"
t.thrift.shop,"Bagus sekali kaos nya 
Bikin Hoodie dong erigo 
Yang xxl . 
Erigo barang bagus tapi 
Ramah dikantong . Ok.ok mantap"
sugengriyono70,Thanks saller atas respon cepat  dan pengiriman nya kwalitas produk bagus packing rapi thanks saller thanks shopee
vinanfauzi,Terimakasih kaka barang sudah sampai dan diterima dengan baik. Produk kualitas baik.. Pengiriman cepat..
e*****0,"Barang udah nyampe. Kualitas barang bagus, harganya pas ada diskon, pengemasan dan pwngiriman cepat. Terima kasihh"
l*****1,"Pertama kali pesan erigo bahannya bagus banget sablonnya pun bagus, barang yg dikirim sesuai pesanan, pesan tanggal 7 dan tanggal 8 udah nyampe, seneng banget !!! terimakasih 🥰"
salszhrs,dapet harga promo bagus pol dapet hadiah stiker jugaa makasih yaaw bahanya enak sih menurutku murah tapi gamurahan
dannyverro,"Kualitas produk sangat baik, produk original, harga produk sangat baik, kecepatan pengiriman sangat baik, respon penjual sangat baik, terimakasih shoopee n seller 🙏"
a*****a,Pengiriman barang cepat.. packaging ok.. barang sesaui deskripsi.. semoga awet.. rekomended seller lah pokoknya..
artikaulfa15,"Bajunya sudah sampai dengan selamat di kos, ga bisa fotoin soalnya lagi ga di kos. Tetap kasih bintang 5 soalnya udah sering beli dong. Dapet pas diskonan mulu. Oke makasih erigo"
i*****i,"Kualitas tidak dihiraukan lagi pasti bagus, udah dua kali order tidak kecewa. Produknya terbaik pokoknya."
lindhute_linda,"Paketan sdh dtg, alhamdulillah sodara suka. thx seller"
kepakethings,"Gemesss bangett sii, gapaham lagi, pengiriman cepat, packing baik, seller baik, buyer juga baik banget parahhh"
abiezt_98,"Aawwww cakep banget kaosnya, alhamdulillah dapet flashsale jadi cuma 40 rb doang wkwkwkw kaos erigo pertamaku nih"
nviarhmwti,Bagus bahannya adem jugaa erigo thebest pokoknyaa lopbgtt❤️❤️❤️semua sesuai ekspetasi tidak mengecewakan🙏❤️❤️
a*****5,Produk sangat bagus josssssssssssssssssssssssssssssss mantap
rohanana22,"
Bagusssssssssssssssssssssssssssssssss bangettttttttttttttttttt ga boonggggggg pokonya recomended bangettttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt"
marthinus14,"Pengiriman cepat hanya sehari ,produk sesuai ,bahan bagus ,cuma size Lnya lebih agak kecil dari standart kebnyakan kaos,terimakasih"
teguhrmdhn.,"Sungpaa bagus banget produknya, kukira gadapet sticker ehh ternyata ada didalem nyelip😆 makasi kakk, good joob👍🏻"
c*****p,Bajunya sudah sampai. Gak sempet difoto karna pas sampai langsung dipake trus skrg lagi dicuci. Bahannya ademmmm
ritnarahmaednarra,Barang sampai dengan aman.. pengemasan bagus dan cepat.. tidak mengecewakan.. maaf tidak sempat foto dan video 🙏
harum.nissa,"pengiriman cuma sehari,gercep makasi, recomended 👍, bahannya lmyn bagus🙂"
mochamadden,Kualitas produk sangat baik pengiriman sangat cepat
melymarvicha,Meskipun pengemasan super lamaaaaa bgt tp brg ga pernah mengecawakan dgn harga super murah dan kualitas super ok
sellma15,Paket sudah mendarat dengan selamat pengemasan dan pengiriman rapi juga cepat recommended lah belanja disini
d*****i,"Kualitas produk baik harga produk baik produk original kecepatan pengiriman baik repson penjual baik, mantep good "
dey_thrift,Terimakasih kak paketnya udah sampe produknya bagus dan aman!! 🖤
e*****5,"Bahannya lembut banget si ini kaosnya, pengirimannya aga lama karna beli pas 12.12 tapi its oke semuanyaaaa"
59cexgch91,
m*****n,"Beli ke 2x nya dan ga pernah kecewa beli disini produk selalu memuaskan. Bakal jadi langganan disini, untuk pengiriman seperti biasa sangat cepat. Semoga seterusnya bisa menjaga kualitas produknya. Seller ramah meskipun slow respon, thx🙏🙏"
carrinafakah,"Pesan lagi untuk ke sekian kalinya.. 
kali ini pesan untuk ponakan.
Tshirt nya sesuai dengan yg di pesan."
i*****i,"Cakep banget sih ini kaosnya, bahannya lembut, model & coraknya oke, harganya bersahabat & fix lah ini toko recomendet buat cari² kaos yang berkualitas tapi harganya miring 😊😊 terima kasih buat seller & shoope 😊😊😊 ejeieooeiejeheoe88eieuei8e7uejhehekeiikejehjsooeoeoieieiiw9w9828jeheu8eujeheuoeie"
selsellrattorre,"Bagus bgtt, bahan lembut cucoo, next order lagii 😍😍😍"
siivhieaa,"Kaos kecee buat orang kece, makasih seller semoga banyak rejeki nya dan sehat selalu, sering sering promo yaa. "
sesetiawan,Alhamdulillah barangnya sudah sampai dengan kondisi baik dan bagus kualitas dan harga sesuai lah sukses selalu cepat kaya dan nanti kasih aku uang yang banyak ya terimakasih.
e*****a,"makasih yaa nanti beli lagi kalo ada promo menarik
sering-sering aja kasih promo biar orang ada disitu nyuci pakaian hujan langit tidak membeli nasi goreng bertiga sama siapa"
s*****2,"Kuota mau habis? Gunakan pulsa siaga Rp 3000 seharga Rp 3600, akan kami potong pada pengisian pulsa berikutnya. Balas OK untuk menerima"
k*****7,"Bagusss... kualitas produk sangat baik,, harga produk sangat baikkk, kecepatan pemgiriman sangat sangat baikkk"
o*****a,"Bagus bangett. Agak oversize juga di aku yang bb/tb 47/153 
Terimakasih "
putriameliaaaa,"Murahhhhhhh bbgttt, lgi diskonnnn dan ada promo ongkirrrr, superrrr kerennn bgt kaosnyaaaa ada brand tapiiiii harganyaa murahh dan terpercaya karna belinya di toko officiall"
m*****2,Bagus banget kaosnya bahannya juga enak adem motifnya juga kekinian tapi sayang pasaran tadi kupake nongkrong ada 5 yang sama rasanya pengen langsung pulang tapi not bad lah
r*****9,"Harganya murahhhhhhhhhhhhhh meriahhhhhh, pengiriman cepattttttt, responnya juga cepattttttttttttttttttttttttt"
s*****s,"Ga sempat foto, produk sesuai gambar & dikirim sesuai pesanan juga gaada yg salah. Bahannya ademm, mantap pol"
a*****2,"Mantap barang cepat sampai, bahannya enak dipake 😁
Pengiriman juga cepet pake jnt 
Sukses selalu erigo 🙏🙏"
sidodi2001,"Waktu pemesanan: 20 Maret

Waktu dikirim:24 Maret lama om....

Sampe kesaya:26 Maret

All day is: 6days"
firda_khoiruni,"Kualitas produk sangat baik, produk original, harga produk sangat baik, kecepatan pengiriman barang sangat baik, rspon penjualan baik, recommended"
dotastj,yg bagus sih dan ukuran sudah benar tapi sayang disaya malah gak muat haruse order XL🙂
hikmahindrajaya,"alhamdulillah kaosny sdh smpai,,, bahanny bagus halus ukurannya sesuai, pengiriman cepat, pakingannya keren banget,,, puas banget deh"
bisyrinasir,"alhmdulillah, pengiriman cepat , dan barang dalam keadaan baik , tidak ada cacat, terima kasih semoga sukses"
l*****6,"Barsngnya baru nyamoe,mkdh seler,mmmmmmmmmmkkkkkkkkkkkkkkkkssssssssssssddhhhhhhhhhhhhhhhhhhhhhhhhjhjjjjhhhhh"
yayukallya,Barang sdh sampai packing nya aman banget ada paper bagnya barang ori bahan adem warna sesuai pesanan mantap
chindiarini30,"Bagus bajunya..bahannya juga adem..semoga suamiku suka..
Makasih ya seller ,semoga sukses terus......."
bjfxidhfe4,Order ke dua kalinya.. Puuuuaasssssss.. Pengiriman cepat.  Terima kasih shopeeeeeeeee dan selleerrrrrr.....
rani290998,"Alhamdulillah barang datang dgn selamat, dapat flash sale di 12.12, barang brand lokal ORI, toko rekomended"
nurulauliaramdhanidahlan,"Real pict,trus cepet nyampe juga kaosnya lembut banget, cocok buat jadiin kado , adik sy suka😍😍😍😍😍😍😍😍😍😍😍😍😍😍"
rita_gildbrandsen,"Paket baru sampai, bagus banget kaosnya. Bahannya halus & ukuran sesuai pesenanku. 😍👍
Makasih sist'/bro' 🙏😊
"
satriajodi382,Barang sudah diterima dengan baik. Semuanya sangat ok. Ngga diragukan lagi kualitas dari brand satu ini
arielpratama18_,Barang bagus sekali dan bahanya juga adem banget suka deh sama kaos dan juga pengirimannya crpat sekali
f*****5,Baru pertama kali order kaos erigo😁...bener²  memuaskan hasilnya🥰 kualitas produk okee banget👍😍 next in sya Allah order lgi😁
yudhita_98,"Erigo baju ter-the best banget dehh, barangnya gak pernah ngecewain, dipakenya juga jadi makin kecee"
w*****6,"Lumayan lah . Kualitas nya oke. Pengiriman cepat. .......
..."
andinazalea,"Packing aman, pengiriman cepet, adminnya fast response. Produknya bagus bangeeettttt next bakal order lagi disiniii. Ada harga ada kualitas ❤️❤️❤️❤️🤩🤩🤩🤩😍😍😍😍😍😍😍😍😍😍❤️❤️❤️❤️"
y*****2,Makasih barangnya sudah sampai bahannya bagus adem sablon nya juga rapih. Pengiriman lumayan cepat packing nya rapih
0*****n,Beritahu pengguna lain mengapa anda sangat menyukai produk ini. Kualitas produk sangat baik dan pengiriman nya juga cepet. Terimakasih👍
nabilmikaroma,"Bahannya bagus , dan nyaman di pakai , adem , waduh ter the best pokoknya , bakal langganan nih beli dsini"
habsyaopiana,"Alhamdulillah sudang mendarat paketannya, bahannya tebel, adem, sesuai dengan gambar, mantulll pokonya"
k*****6,"Suka banget samaa baju nyaaaaa😍😍😍😍

Fast respon... Beli lagi Flash sale 55.000, mantapp bangett😍😍😍"
fifisidqiyah,"Bahannya adem, tebal, lembutt jugaa, pokoknya ngga panass, pengiriman juga cepat, terimakasihhh 🙏🙏🙏🙏"
nuryxoxo,"Mantappp sesuai gambar... Recomended...
Sesuai pesanan...
Baguss...
InsyaAlloh langganan...
Kerennnn"
daffahafizh106,"Mksh kk baju n jaketnya SDH smp n bgs smua..
Krn mau dijual lg..
Maaf jg br ksh penilaian Krn brgnya lgsg dkrm k pondok 🙏😀 dan lgsg laku smua
Insyaallah Krn bgs mau repeat order lg 🙏😍"
irnafauziah,"Oke aku terima dengan kumplit barangnya , terimakasih sukses slalu ....
Beda harga beda bahan ya sist , heheee ..."
amaliasulkha,"Bagussss bangetttt, barang sesuai pesanannn, sukaaaa bangetttt, terimakasihhhhhhhhhhhhhhh yaaaaaaaaaaaaaa"
fayfash,"Thankyou gan 
barangnya sudah smpai di rumah..
seneng banget
akhirnya bisa datang tepat disaat dibutuhkan"
catursingh,"Kualitas bagus
Pengiriman cepat
Packing rapi aman ..
Smoga cust pda suka ..
Makasih yaaaaaaa
JP9556140572"
adityardiansyah_,"Pengiriman sangat cepat,free stiker banyak pula,respon penjual juga baik,packing sangat rapi,recomend banget pokoknya🤙 ngga pernah nyesel beli disini terima kasih erigo🥳🙏"
r*****h,"Paket diterima dengan baik, recommended seller, produk bagus, pengiriman cepat 🙏🏼🙏🏼🙏🏼"
arabellaratna,"Alhamdulillah paket nya udah nyampe, kaos nya bagus, ukuran nya pas, pengiriman cepat, terimakasih 😘"
w*****i,"Ini toko bener2 bagus banget,respon cepat walaupun COD,barang bagus walaupun diskon banyak g ad yg rijek"
itsril_,"Produknya di jamin 100% ori
Ga nyesaL da beli baju nya
Baru kali ini pengiriman cepat 
Biasanya lama"" kali nerima Barang nya 
Memang terbaiklah"
nurlastrii_,"Terimakasih kaa barang nya sudah sampai, sukaaa banget huhu next order lagi yang lain nyaaa🥰🥰🥰❤️❤️"
nabilaputrie1904,"kemarin sore pesen, siang ini uda sampeee, gila si cepet bngt. bahannya adem, doain smogaaa doi ku suka😭"
adetyaspratiwi,Barangnya sudah diterima yey.. suka banget barang diskonan tapi kualitas mantep dari bahan n sablonannya
sofiantun,Lumayan lah sesuai harga.. Kayanya harga nya emang segitu bukan karena diskon..... Ini pesanan si bujang
s*****i,"Kemaren beli waktu flashsale 12.12, tapi ternyata ga dpt harga flashsalenya. Ya gpp sih, bagus bajunya 👍"
almahira9901,"Pengiriman cepat dan barang datang sesuai dgn deskripsi ga ada cacat, makasih ya seller.. sukses terus.."
lili1981,"Sesuai bangett ama di pic...melebihi ekspektasi malah....barang ori,bahan super adem...sukaaa...mksh"
ridahyun4797,"Barangnya datang aman dan bagus kualitasnya, agak lama datengnya mungkin efek 12.12 tapi gak masalah "
ahmadbadbedbod,"Ga nyesel belanja dsini .
Next pasti order lagi .
Goood lah nyaman pisan dipakenya suami aku syukaaaaaa"
wasilatul1707,Pengiriman cepat sesuai dengan ekspektasi harganya murahhhh banget penjual nya ramahhh fast respon pokokkk selalu langgangan disiiniii pokok mantap sukses selalu 👍👍👍👍
mawadcantik,"Pesanan mendarat dengan selamat , enggak ada cacat . Dan pas banget . Pengemasan nya lumayan cepat dan pengiriman juga cepat , thanks seller semoga selalu amanah . 🙏🏼"
m*****_,"Alhamdulillah paket sudah sampe, packing dan pengiriman cepat sekali. Selalu puas sama barangnya erigo😍"
_*****a,"beli kedua kalinya!!! bahannya bagus juara lah ga panasss ga sumukkkk adem pokoknya mah, modelnya juga ga pasarannn, cocok buat kado pacarr saya xixixi, sering2 fs yaa ☺️❤️ #localproud"
endangtriastuti71,"Udah 2 kali beli disini,,bagus banget,,sering2 disc ya,,suka banget,pengiriman cepat,bahan bagus,terima kasih"
wijayavivi25,"krna 12.12 agak lama nyampenya.... stiker dapat bnyk sekali, terimkasih admin tingkatkan  teross !!"
a*****5,
d*****r,"Pengemasannya lumayan lama tapi nyampenya cepet cuma sehari aja, produknya baguuuuuuus, untuk bb 40kg an ukuran S cukup ngga terlalu kebesaran"
ndowerkuy,"sangat suka
 pengiriman cepet banget bahan sudah tidak diragukan lagi. respon juga sangat bagus. terimakasih. ditunggu motif gambar lainya ya kak. makasih GBU"
a*****5,Bagusssssss josssssssssssssssssssssssssssssssssssss
shopatnamee,"Ngga tau deh yang nerima bukan aku , tapi ya alhamdulillah dapet pas lagi diskon jadi ngga terlalu mahal"
kaikookie,"Produk bagus, pengiriman cepat, baju.a juga bagus, bahannya nyaman, pokoknya thebest belanja disini 😍👍"
refameida,"Alhamdulillah udah kesekian kalinya beli disini gak pernah kecewa.. 
Semoga konsumen ku pada suka.. 👍👍"
b*****8,"beli waktu 12.12 cuma dapet harga 40 wkwk makasii untuk semua team erigoo, semoga erigo semakin jaya🥰🤗"
d*****i,"Size xl nya pas bgt, bahannya adeeeemmm lembut. Pengiriman cepat mantuuuullll dpt flash sale pula 39rb"
helli_piyani21,Maaf bukan foto produknya tp udah diterima dan udah kesekian x nya order baju disini. Love bgt dah
thriheniastati,"Pengiriman cepat, packingan rapi, 
Promo 12.12 super murah 
Pesanan dikirim sesuai pesanan
Ga mengecewakan .. beruntung banget dapat harga promo 12.12 .. murce dong"
y*****9,Agus si RS add to US gua jg hz KB km of di JCC s yg dan ya tuh di BBC to hd on di km xxall UN SD JCC
putriratna4,"cepet bgt gilssss. packagaing super rapih, dan t shirt gada yg cacat sekalipun. toopppp! 💯 thankyou erigooo! bakalan order lagi niyyyy"
sugitebas,"Makasi banyak erigo,barang bagus sesuai harga dan foto,cuman ukuranya yang tidak sesui,pesan 2 yang 1 sesuai ukuranya"
rizkapriyanita,"Bahannya bagus banget😍😍😍
Pengemasan dan Pengirimannya juga cepat banget😍
Next bakalan order lagi 😍😍😍😍"
k*****i,"Alhamdulillah barang dh sampe, makasih.. Barang bagus.. ORI"
choirullhuda00,"Miris sekali!!.
Aku mencintai sepasang mata yg bahkan belum pernah aku tatap secara nyata
28-12-2020.

"
l*****1,Pesana sudah sampai pengiriman sanggat cepat sekaliii ter love lah hehhheheh maaf gak buat foto heheh
bintang_yoe,Pertama kali beli disini. Yang aku tau kualitas barang erigo mantep. aku ga akan menyesal hehehe. Makasih ya. Pengiriman nya cepet loh. Kayak karma cepet nyampe ✌✌
galericraftku,Worth to buy. Gak perlu diragukan lagi karena ini shopee mall wkwk
adeliiasftr,"Bbagus bahannya adem bisa melar sabon juga baguss dapet stiker lucu lucu , di pale di badan pas , cocok buat cewe cowo , tapi ga dapet paperbag :( gppa lah yg penting nyaman di pakai 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻"
denti01,"Udah ga dapet gift stiker ya?
T-shirt nya oke ko, size S sama M ga beda jauh ternyata
Bajunya lupa di foto "
rizki131195,"Emang erigo dah yg paling bener gaes mantap
Sangatttttt
Mantoellllllllll 
Bangett 
Asekelelahhhhhhhhhhhhh
Cihuyyyyyyyyyyyyyyyyyyyy
Andalan memang 
Pastinyaaaaaaaaa"
e*****_,"Bagusd seperti biasaa dah langganan , hampir semua nya kupunyaa uu semoga bisa beli model yang lain"
m*****_,"Barang sudah sampai, tapi lama pengirimannya. Bagus sih terimakasih"
a*****h,Mayan lahh oversized bgt ya gimana ya tbku 152 bb 42 hehe bahannya agak tipis cuman adem saat dipake
natasyaindah3110,akhirnyaaa dataanggg jugaaa sukaaaa sesuaiii hrganyaaa jugaaa medium nyaaa gede yaaa masihh kegedean
denayolandasinulingga,"Bagus, pengiriman cepat dan pengemasan aman dan bagus, dapat diskon lagi,  mantapppo"
b*****n,kualitas produk baik. produk original. pengemasan cepat. pengiriman agak sedikit lama mungkin karena event 12.12 tapi tetep suka sama produknya. dpt sticker juga.
nadhilatri,"Semoga pas ukurannya untuk pacar saya🥺❤️ seller super baik pengiriman super cepet terima kasih
"
anekabarangunik,"Barangnya bagus banget!!! Original pula,pas beli lagi flash sale jdi murah banget udah dapet kualitas sebagus ini!! Kemasan juga keren dapet stiker juga. Suka bangett deh pokoknya"
vikha_redblack,"Pesanan mendarat dengan selamat
Produk sesuai pesanan
Pengemasan lumayan lama
Tpii it's okey
seller nya juga udh info
Thanks"
i*****9,"Lumayan lah dengan harga segitu dapat barang seperti ini, worth it dan ga kecewa lah. Thanks seller"
selpiyana9089,"Sesuai ekspetesi bajunya,udah gitu dapet stiker😙suka sama bahannya gak gerah dan nyaman dipake😍"
r*****b,"Yang ditunggu-tunggu akhirnya datang, kualitas.nya sangat bagus,semoga gak kapok beli lagi..."
h*****4,Jdjdbdjxndjdndndknddjjejdjdidjdjdkdodjdidkdkdkdodkfkf
j*****a,"Barang sampai di tujuan dengan selamat🙏 halus buangett kain bajunya, adem gitu. Kualitas sablonnya bagus rapi gak ngasal nyablon👍 dikasih bonus stiker juga lagi"
sonyeo,Mantap dapet harga discount...... Yang mau beli ini jangan pake uang ngutang apalagi ngutang nya lama balikinya . Cuma buat gegayaan doang anjimm banget ga tuhh
trinasuciindahsari,terimakasih barangnya sudah sampai dengan selamat dan aman
j*****8,"pengemasan ok, pengiriman ok. thankyou seller, first order dishopee biasanya kl lg ada event2 eheh"
milkiiman,baju nya udah nyampe bagus banget maksih buat toko erigo saya biasa jadi langganan lah di toko ini
mira24000,"Kaos bahannya gak panas, halus juga. Tapi untuk lengan ukuran L agak terlalu pendek. Tapi kualitas tetap mantap pokoknya, seller juga ramah, terimakasih"
a*****r,"BAGUS BANGETTT!
ukuran XL gede bgt di aku, btw aku 51/165 
overall bgus bgttttt, alhamdulillah beli pas diskon sm gratis ongkis xixixixi❤️❤️❤️"
f*****6,"order yang kedua kalinya, puas bgt sama pelayanannya 🥰🥰 cuma kurirnya aja agak sensi, selebihnya puassss parahhhh🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰"
a*****6,Barang mendarat dengan selamat sesuai ekspetasi dan semoga awett bisa langganan.. terimakasih boskuh
f*****a,"Buat ngado jadi ga ku buka, semoga pas diterima bagus dan kondisinya baik...tp aku suka bgt pengirimannya cepat dan ratingnya tinggi so pasti harus bagus dong."
syaniashofiyyah,"Terimakasih kak,pengiriman sangat cepaat ..
Bahan nya baguuss .. 
Semoga laris dan berkah selalu .."
ranianggraini05,"Kualitas produk baik, harga produk baik, kecepatan pengiriman baik, respon penjual baik. Terimakasih"
lailiaaaa,"BAGUS KAIN TEBAL DESIGN KEREN HARGA TERJANGKAU TERBAIK POKOKNYA ERIGO 
MANTAPPPP PENGIRIMAN CEPAT"
