author,comment
chocho_0808,Pesananda da sampai sesuai pesanan cepat banget sampai cuma sehariiimantulllllllll makasi
n*****a,"Over all bagus dong bahannya, suka banget karba ada harga diskon aku baru pertama beli sih kaos di store ini maksih seller, meskipun mamamg kurirnya ada keterlambatan tapi barang sudah mendarat cantik, 😉"
sriakhirudin,"Assalamu'alaikum warahmatullahi wa barakatuh...
Bismillahirrahmanirrahim..
Barang telah diterima dengan baik. Terimakasih Erigo, thanks Shopee 😊🙏q"
fitrianasrrrr,"Produk sudah sampai. Agak kecewa sih, bahan sdikit kasar. Beda sama orderan yg pertama. Sablon ny juga beda sdikit d warna, klw orderan yg 1 agak krem. Klw yg k 2 lebih k putih. dan ukuran tulisan ny tuh lebih besar yg k 2. Yg order 1 yg paling atas. Tp ga pa"" lah sudah bagus dengan harga sgtu."
windi_sukmawan,Mantap bro.. bagi teman² yg mau beli di toko ini jgn ragu lagi.. ayu buruan kita order lagi. 😁
d*****_,"Bagusss bangettt ,promonya lumayann ditambah lagi saya menggunakan koin shoppe jdi harganya kepotongnya lumayannn dan worth it bgttt.
Sellernya baik ,saya minta tambahan plastik packing untuk kado dan dikasih."
imamkhodri,Bhan bgus bangeeet kren pkokx responden cpat...g rugi bli dsni
mamahabil84,"hitam M..,bahannya lumayan cuma baru z ini pengirimannya luamaaaa banget…."
z*****9,"Alhamdullilah tshirtnya udah datang dng aman tanpa cacat,..x ini agak lama pengiriman karna ada barang satu yg tidak lolos QC..yah kecewa sih ..tapi untuk bahan tshirtnya bagus adem ,nyaman dipakainya..thank min stickernya"
elda_elvykwakhdania,"Erigo.....👍
Kualitas bagus.....
Nyaman dipakai.....
Sip pokokx...kalian harus coba......"
dilaferdi98,"realpict, bagus banget 🥰"
s*****i,"Bagus bahannya, pengiriman jg tepat waktu, bahannya gk buat panas, ukuran L cocok tinggi 168cm 
Beli pas lagi Flasesale jadi lumayanlah 😅"
dnd_beauty.id,"Bahan bagus dan pengiriman juga cepat
Harga juga murah bgt🥰🥰🥰"
cahyadipuspa,
vinavelinda663,Gak kecewa belanja disini pengiriman cepat trimah kasih 🙏🏻🙏🏻🥰
komarudin1234a,Alhamdulillah paketannya mendarat dgn selamat dan tidak robek paking y y
a*****n,Barang Realpict sesuai pesanan. Suka bngt karna kainnya halus. G bikin kecewa dech order di sini. Packing nya juga rapi bngt. Next order lagi. Makasih buat tokonya. Pokoknya suka bngt
bagus_038,"Orderan pertama kali sangat memuaskan... Dapat harga diskon lagi.. 😀 produk original.. Bahan bagus dan pastinya nyaman dipakai.. Bakalan jd langganan ini. Makasih seller🙏🙏 makasih Shopee🙏🙏 
ERIGO 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍"
